time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
71,71.85365139574594,71.85365139574594,0.0,89.9880023360737,89.9880023360737,0.0,5.0124385174772375,5.0124385174772375,0.0,5.203907347311799,5.203907347311799,0.0,15.426399315004812,15.426399315004812,0.0
72,72.00502630591659,72.00502630591659,0.0,89.95943792850599,89.95943792850599,0.0,5.032386370992596,5.032386370992596,0.0,5.199660806035873,5.199660806035873,0.0,15.391232400684252,15.391232400684252,0.0
73,71.74482453659353,71.74482453659353,0.0,90.19228778429623,90.19228778429623,0.0,4.992092500077843,4.992092500077843,0.0,5.197179909284429,5.197179909284429,0.0,15.514442067369576,15.514442067369576,0.0
74,71.75624946105432,71.75624946105432,0.0,90.44441664091907,90.44441664091907,0.0,5.032176559320522,5.032176559320522,0.0,5.198359914473085,5.198359914473085,0.0,15.387831758114853,15.387831758114853,0.0
75,72.11357467833419,72.11357467833419,0.0,90.6201865620444,90.6201865620444,0.0,5.028275401350913,5.028275401350913,0.0,5.201796740168661,5.201796740168661,0.0,15.314781783352364,15.314781783352364,0.0
76,72.41075356450975,72.41075356450975,0.0,90.64075814249502,90.64075814249502,0.0,5.005246644414875,5.005246644414875,0.0,5.199125478131814,5.199125478131814,0.0,15.296958896510937,15.296958896510937,0.0
77,72.54894752263827,72.54894752263827,0.0,90.6768057382962,90.6768057382962,0.0,4.986515995844505,4.986515995844505,0.0,5.194970234578351,5.194970234578351,0.0,15.248859496890963,15.248859496890963,0.0
78,72.26681230427567,72.26681230427567,0.0,90.54526521097473,90.54526521097473,0.0,4.959380939718755,4.959380939718755,0.0,5.192685007214198,5.192685007214198,0.0,15.261355808874228,15.261355808874228,0.0
79,72.38358275216574,72.38358275216574,0.0,90.20391448583875,90.20391448583875,0.0,4.968197125573881,4.968197125573881,0.0,5.192427624085401,5.192427624085401,0.0,15.322196540052264,15.322196540052264,0.0
80,72.25016580976713,72.25016580976713,0.0,90.43614205673363,90.43614205673363,0.0,4.988072629931304,4.988072629931304,0.0,5.196600398157338,5.196600398157338,0.0,15.43901736064036,15.43901736064036,0.0
