time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
8308,71.97182835897034,71.97182835897034,0.0,89.76020061081482,89.76020061081482,0.0,5.020446074892007,5.020446074892007,0.0,5.205880066268735,5.205880066268735,0.0,15.178143987704438,15.178143987704438,0.0
8309,72.23499589841525,72.23499589841525,0.0,89.20212429524976,89.20212429524976,0.0,5.020381973174845,5.020381973174845,0.0,5.210154901604568,5.210154901604568,0.0,15.303969344815744,15.303969344815744,0.0
8310,72.06277264337763,72.06277264337763,0.0,88.94328975616713,88.94328975616713,0.0,5.001292059089486,5.001292059089486,0.0,5.212573602026461,5.212573602026461,0.0,15.43004390687644,15.43004390687644,0.0
8311,72.24563361698435,72.24563361698435,0.0,89.40347013556043,89.40347013556043,0.0,5.018820973390414,5.018820973390414,0.0,5.211934851203089,5.211934851203089,0.0,15.470470984647658,15.470470984647658,0.0
8312,72.5327758654908,72.5327758654908,0.0,89.81519934621265,89.81519934621265,0.0,5.033565683037026,5.033565683037026,0.0,5.214620037750508,5.214620037750508,0.0,15.38842016674335,15.38842016674335,0.0
8313,72.74591710773633,72.74591710773633,0.0,89.71786546947375,89.71786546947375,0.0,5.031142012519036,5.031142012519036,0.0,5.209073443173877,5.209073443173877,0.0,15.404136332506955,15.404136332506955,0.0
8314,72.88103731205632,72.88103731205632,0.0,89.8558766106502,89.8558766106502,0.0,4.988752418949112,4.988752418949112,0.0,5.205755570347252,5.205755570347252,0.0,15.499302933786815,15.499302933786815,0.0
8315,72.97377725094418,72.97377725094418,0.0,90.29479373065979,90.29479373065979,0.0,4.967193267424002,4.967193267424002,0.0,5.210144281599522,5.210144281599522,0.0,15.591245045036393,15.591245045036393,0.0
8316,72.83392429832077,72.83392429832077,0.0,90.04360773744685,90.04360773744685,0.0,5.0033439492604455,5.0033439492604455,0.0,5.204499696191649,5.204499696191649,0.0,15.497178857786242,15.497178857786242,0.0
8317,72.53232743925723,72.53232743925723,0.0,90.20372195980993,90.20372195980993,0.0,4.978580351457021,4.978580351457021,0.0,5.2027170617260365,5.2027170617260365,0.0,15.420459915467012,15.420459915467012,0.0
