time_s,scenario_name,action_type,status,detail,payload
160,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
161,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
162,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
163,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
164,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
165,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
166,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
167,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
168,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
169,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
170,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
171,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
172,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
173,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
174,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
175,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
176,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
177,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
178,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
179,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
180,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
181,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
