time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
852,72.47425774047709,72.47425774047709,0.0,89.12296025833719,89.12296025833719,0.0,5.048692480997404,5.048692480997404,0.0,5.205403156656965,5.205403156656965,0.0,15.42072081080569,15.42072081080569,0.0
853,72.45033726454143,72.45033726454143,0.0,89.4520569646827,89.4520569646827,0.0,5.02788086524835,5.02788086524835,0.0,5.201896600499842,5.201896600499842,0.0,15.426470987123826,15.426470987123826,0.0
854,72.22402480013828,72.22402480013828,0.0,89.18308326348085,89.18308326348085,0.0,4.996114963733685,4.996114963733685,0.0,5.199481325555064,5.199481325555064,0.0,15.469779891018621,15.469779891018621,0.0
855,72.28177196346739,72.28177196346739,0.0,89.05089705625876,89.05089705625876,0.0,4.984657598954933,4.984657598954933,0.0,5.197707645592446,5.197707645592446,0.0,15.476130816235493,15.476130816235493,0.0
856,72.39417832875607,72.39417832875607,0.0,88.85713790914194,88.85713790914194,0.0,4.952399441302547,4.952399441302547,0.0,5.199023560966139,5.199023560966139,0.0,15.463710832143354,15.463710832143354,0.0
857,72.27764403062247,72.27764403062247,0.0,88.79538407557344,88.79538407557344,0.0,4.972775802676821,4.972775802676821,0.0,5.195160901909283,5.195160901909283,0.0,15.509778976377053,15.509778976377053,0.0
858,72.16848830244716,72.16848830244716,0.0,88.86401933143163,88.86401933143163,0.0,4.983820442913951,4.983820442913951,0.0,5.198909558867817,5.198909558867817,0.0,15.588287999883411,15.588287999883411,0.0
859,72.23099882489534,72.23099882489534,0.0,89.16392646569238,89.16392646569238,0.0,5.003006194312611,5.003006194312611,0.0,5.200705448381192,5.200705448381192,0.0,15.645486600648393,15.645486600648393,0.0
860,72.56807135298595,72.56807135298595,0.0,89.35407068934173,89.35407068934173,0.0,4.973149625841875,4.973149625841875,0.0,5.203777554020236,5.203777554020236,0.0,15.66298691713303,15.66298691713303,0.0
861,72.43971821093632,72.43971821093632,0.0,89.55682437691492,89.55682437691492,0.0,4.993541276208606,4.993541276208606,0.0,5.203129483119622,5.203129483119622,0.0,15.568891282210293,15.568891282210293,0.0
862,72.13904638511549,72.13904638511549,0.0,89.87096415108452,89.87096415108452,0.0,5.027430003938787,5.027430003938787,0.0,5.201800032648472,5.201800032648472,0.0,15.560021146311808,15.560021146311808,0.0
863,72.2459860464319,72.2459860464319,0.0,90.3268127714878,90.3268127714878,0.0,5.020041109620561,5.020041109620561,0.0,5.196958751306496,5.196958751306496,0.0,15.451991589077942,15.451991589077942,0.0
864,72.082548997589,72.082548997589,0.0,90.00696528013387,90.00696528013387,0.0,5.038808516197722,5.038808516197722,0.0,5.198246318440368,5.198246318440368,0.0,15.374525448434106,15.374525448434106,0.0
865,71.74993117120904,71.74993117120904,0.0,90.39174440653836,90.39174440653836,0.0,5.019711823277751,5.019711823277751,0.0,5.1998810492039125,5.1998810492039125,0.0,15.387095933490718,15.387095933490718,0.0
866,71.82145741222531,71.82145741222531,0.0,90.23018110480771,90.23018110480771,0.0,5.026757731071787,5.026757731071787,0.0,5.200370050157233,5.200370050157233,0.0,15.310145157012109,15.310145157012109,0.0
867,71.76087485967636,71.76087485967636,0.0,90.3799332830898,90.3799332830898,0.0,5.030473301636965,5.030473301636965,0.0,5.203183602346468,5.203183602346468,0.0,15.345211542442206,15.345211542442206,0.0
868,72.03408231025516,72.03408231025516,0.0,90.14499261158757,90.14499261158757,0.0,5.039425612275613,5.039425612275613,0.0,5.198707999583155,5.198707999583155,0.0,15.391008749276953,15.391008749276953,0.0
869,72.08725486819,72.08725486819,0.0,90.19544684838918,90.19544684838918,0.0,5.031209866710799,5.031209866710799,0.0,5.19936217924492,5.19936217924492,0.0,15.381062695608517,15.381062695608517,0.0
870,71.81237744570343,71.81237744570343,0.0,90.0409129544971,90.0409129544971,0.0,4.995754714412531,4.995754714412531,0.0,5.202553843776575,5.202553843776575,0.0,15.38659152719994,15.38659152719994,0.0
871,71.74951645551465,71.74951645551465,0.0,90.1615750982879,90.1615750982879,0.0,4.963562496132684,4.963562496132684,0.0,5.205519985601686,5.205519985601686,0.0,15.275518660062229,15.275518660062229,0.0
872,72.11752622276059,72.11752622276059,0.0,89.80626564548253,89.80626564548253,0.0,4.940151161499538,4.940151161499538,0.0,5.201570796239405,5.201570796239405,0.0,15.29155526720597,15.29155526720597,0.0
873,72.00820846105181,72.00820846105181,0.0,89.6219313219742,89.6219313219742,0.0,4.962639707617163,4.962639707617163,0.0,5.1996111794791195,5.1996111794791195,0.0,15.270659557444523,15.270659557444523,0.0
874,72.3372839316854,72.3372839316854,0.0,89.92981226275943,89.92981226275943,0.0,4.962391350873933,4.962391350873933,0.0,5.2044680708866045,5.2044680708866045,0.0,15.266600675033152,15.266600675033152,0.0
875,71.94757465105975,71.94757465105975,0.0,90.09765250920279,90.09765250920279,0.0,4.959733686518307,4.959733686518307,0.0,5.2003863806339625,5.2003863806339625,0.0,15.330571001527069,15.330571001527069,0.0
876,71.8524560694409,71.8524560694409,0.0,89.75149294959051,89.75149294959051,0.0,4.981362352692473,4.981362352692473,0.0,5.203563020180598,5.203563020180598,0.0,15.460272430031125,15.460272430031125,0.0
877,72.16819951833816,72.16819951833816,0.0,89.73953673130158,89.73953673130158,0.0,5.000021186027367,5.000021186027367,0.0,5.20222082005306,5.20222082005306,0.0,15.441110757955894,15.441110757955894,0.0
878,72.04394181018962,72.04394181018962,0.0,89.75096735688304,89.75096735688304,0.0,5.013017370523911,5.013017370523911,0.0,5.201791967215272,5.201791967215272,0.0,15.345920995443581,15.345920995443581,0.0
879,71.94365255750103,71.94365255750103,0.0,90.25029123315761,90.25029123315761,0.0,4.983625854091536,4.983625854091536,0.0,5.206623249857715,5.206623249857715,0.0,15.381540620628385,15.381540620628385,0.0
880,71.66128857448446,71.66128857448446,0.0,89.6335956092233,89.6335956092233,0.0,5.003512753373625,5.003512753373625,0.0,5.205960697407632,5.205960697407632,0.0,15.278820510250332,15.278820510250332,0.0
881,72.11486065311762,72.11486065311762,0.0,89.59661985371311,89.59661985371311,0.0,4.996313565569072,4.996313565569072,0.0,5.205044392900972,5.205044392900972,0.0,15.39888066848011,15.39888066848011,0.0
882,72.17758355918345,72.17758355918345,0.0,89.35318478511955,89.35318478511955,0.0,4.99755750461736,4.99755750461736,0.0,5.205161565817545,5.205161565817545,0.0,15.501641496105186,15.501641496105186,0.0
883,72.02963890558065,72.02963890558065,0.0,89.36621533123747,89.36621533123747,0.0,5.004117734794792,5.004117734794792,0.0,5.208216908667911,5.208216908667911,0.0,15.50805674041342,15.50805674041342,0.0
884,72.02564932742682,72.02564932742682,0.0,89.43601098091311,89.43601098091311,0.0,4.992927175310819,4.992927175310819,0.0,5.212342255419863,5.212342255419863,0.0,15.573000501787199,15.573000501787199,0.0
885,72.18490592720401,72.18490592720401,0.0,89.3069844703372,89.3069844703372,0.0,5.009108505777144,5.009108505777144,0.0,5.20777629796203,5.20777629796203,0.0,15.574704305887982,15.574704305887982,0.0
886,72.53825144753264,72.53825144753264,0.0,89.83722370499105,89.83722370499105,0.0,5.005090868543192,5.005090868543192,0.0,5.202936885525858,5.202936885525858,0.0,15.649762757589107,15.649762757589107,0.0
887,72.11144009356985,72.11144009356985,0.0,90.03684337947513,90.03684337947513,0.0,5.041246045187215,5.041246045187215,0.0,5.198482884308363,5.198482884308363,0.0,15.500900823315794,15.500900823315794,0.0
888,72.3297180242443,72.3297180242443,0.0,89.58723345598803,89.58723345598803,0.0,5.0232389787050815,5.0232389787050815,0.0,5.2013894575140345,5.2013894575140345,0.0,15.495851856624974,15.495851856624974,0.0
889,72.2800807746055,72.2800807746055,0.0,89.80842822436347,89.80842822436347,0.0,5.013826645624103,5.013826645624103,0.0,5.205884175649923,5.205884175649923,0.0,15.530920122794807,15.530920122794807,0.0
890,72.06067749809203,72.06067749809203,0.0,89.95238235964251,89.95238235964251,0.0,5.0319400358695665,5.0319400358695665,0.0,5.20768342008228,5.20768342008228,0.0,15.523139252076254,15.523139252076254,0.0
891,71.69881274423055,71.69881274423055,0.0,89.68071588755151,89.68071588755151,0.0,4.991817701995865,4.991817701995865,0.0,5.211972736025847,5.211972736025847,0.0,15.623490491596126,15.623490491596126,0.0
892,71.85286233565044,71.85286233565044,0.0,89.28475486521248,89.28475486521248,0.0,4.993354635435627,4.993354635435627,0.0,5.2145299014689375,5.2145299014689375,0.0,15.603861675867613,15.603861675867613,0.0
893,71.58556487950602,71.58556487950602,0.0,89.55287199258326,89.55287199258326,0.0,4.95537552112841,4.95537552112841,0.0,5.209483648734531,5.209483648734531,0.0,15.632584964423604,15.632584964423604,0.0
894,71.73410532207265,71.73410532207265,0.0,89.39993007215544,89.39993007215544,0.0,4.985943280784235,4.985943280784235,0.0,5.206337903927546,5.206337903927546,0.0,15.659377156464647,15.659377156464647,0.0
895,71.770238661102,71.770238661102,0.0,89.89975862609062,89.89975862609062,0.0,4.975242380396168,4.975242380396168,0.0,5.201675167766086,5.201675167766086,0.0,15.715103624532237,15.715103624532237,0.0
896,72.15904080973455,72.15904080973455,0.0,89.74689939111332,89.74689939111332,0.0,5.0180250126928865,5.0180250126928865,0.0,5.204244906638185,5.204244906638185,0.0,15.60410340949678,15.60410340949678,0.0
897,72.08235960863749,72.08235960863749,0.0,89.60952640561534,89.60952640561534,0.0,5.0343743740213265,5.0343743740213265,0.0,5.2023562598377175,5.2023562598377175,0.0,15.665579787976801,15.665579787976801,0.0
898,72.27181748956181,72.27181748956181,0.0,89.21028594987655,89.21028594987655,0.0,5.0216979693764285,5.0216979693764285,0.0,5.200181535002645,5.200181535002645,0.0,15.600378759502998,15.600378759502998,0.0
899,72.42448762038164,72.42448762038164,0.0,89.22209682059946,89.22209682059946,0.0,5.035258114488446,5.035258114488446,0.0,5.199912916072884,5.199912916072884,0.0,15.671721094119317,15.671721094119317,0.0
900,72.64376325778711,72.64376325778711,0.0,89.42748362655563,89.42748362655563,0.0,5.026470130126605,5.026470130126605,0.0,5.201704812971756,5.201704812971756,0.0,15.631757154452577,15.631757154452577,0.0
901,72.67336982558301,72.67336982558301,0.0,89.61473400695313,89.61473400695313,0.0,5.033940302910697,5.033940302910697,0.0,5.206130340211549,5.206130340211549,0.0,15.725143190398995,15.725143190398995,0.0
902,72.88574219753339,72.88574219753339,0.0,89.69521052725194,89.69521052725194,0.0,5.010789123761648,5.010789123761648,0.0,5.2016229531555,5.2016229531555,0.0,15.800352007685014,15.800352007685014,0.0
903,72.63810738737139,72.63810738737139,0.0,90.05776743757653,90.05776743757653,0.0,5.028097929407415,5.028097929407415,0.0,5.202380431896971,5.202380431896971,0.0,15.66476003067163,15.66476003067163,0.0
904,72.39236342427193,72.39236342427193,0.0,89.88370946013308,89.88370946013308,0.0,5.028166478464336,5.028166478464336,0.0,5.203918121668614,5.203918121668614,0.0,15.56615452801116,15.56615452801116,0.0
905,71.93080913065322,71.93080913065322,0.0,89.39275920767835,89.39275920767835,0.0,5.020092273961668,5.020092273961668,0.0,5.200799009214321,5.200799009214321,0.0,15.49961324627181,15.49961324627181,0.0
906,71.69781493259072,71.69781493259072,0.0,88.91539179504797,88.91539179504797,0.0,5.0524979856714,5.0524979856714,0.0,5.202301179150516,5.202301179150516,0.0,15.587316668918453,15.587316668918453,0.0
907,72.11298295958969,72.11298295958969,0.0,89.27373538301669,89.27373538301669,0.0,5.015107512342165,5.015107512342165,0.0,5.205681595267546,5.205681595267546,0.0,15.682999580196727,15.682999580196727,0.0
908,72.21761832671876,72.21761832671876,0.0,89.59854746887848,89.59854746887848,0.0,5.050469609269852,5.050469609269852,0.0,5.2091873362956616,5.2091873362956616,0.0,15.615626091789458,15.615626091789458,0.0
909,71.98083940762734,71.98083940762734,0.0,89.97924430208082,89.97924430208082,0.0,5.054853429512544,5.054853429512544,0.0,5.2126797113525924,5.2126797113525924,0.0,15.49147510308406,15.49147510308406,0.0
910,71.92589935288628,71.92589935288628,0.0,90.38583693153792,90.38583693153792,0.0,5.033423555992856,5.033423555992856,0.0,5.208285557925526,5.208285557925526,0.0,15.488891743328864,15.488891743328864,0.0
911,72.16101628161215,72.16101628161215,0.0,90.1519298876499,90.1519298876499,0.0,4.993778833847517,4.993778833847517,0.0,5.212179138283642,5.212179138283642,0.0,15.378769000116705,15.378769000116705,0.0
912,72.08428884772425,72.08428884772425,0.0,90.47308352750271,90.47308352750271,0.0,5.003431159348054,5.003431159348054,0.0,5.207989769853511,5.207989769853511,0.0,15.41022397321486,15.41022397321486,0.0
913,71.78410795205455,71.78410795205455,0.0,90.31760069711976,90.31760069711976,0.0,5.014441449566861,5.014441449566861,0.0,5.211477035356308,5.211477035356308,0.0,15.411068164093972,15.411068164093972,0.0
